25.Q2.5							
							
PmEvent Name	Compound Type	Parameter Name	GPB Field Number	PmEventHeader/Payload	Parameter Type	Containing Oneof	Filters
CuCpF1UeContextReleaseComplete	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1UeContextReleaseComplete	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1UeContextReleaseComplete	GlobalGnbId	plmn_identity	1	Payload	bytes		
CuCpF1UeContextReleaseComplete	GlobalGnbId	gnb_id	2	Payload	int64		
CuCpF1UeContextReleaseRequest	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1UeContextReleaseRequest	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1UeContextReleaseRequest	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1UeContextReleaseRequest	GlobalGnbId	plmn_identity	1	Payload	bytes		
CuCpF1UeContextReleaseRequest	GlobalGnbId	gnb_id	2	Payload	int64		
CuCpF1UeContextSetupFailure	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1UeContextSetupFailure	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1UeContextSetupFailure	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1UeContextSetupFailure	GlobalGnbId	plmn_identity	1	Payload	bytes		
CuCpF1UeContextSetupFailure	GlobalGnbId	gnb_id	2	Payload	int64		
CuCpF1UeContextSetupRequest	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1UeContextSetupRequest	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1UeContextSetupRequest	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1UeContextSetupRequest	GlobalGnbId	plmn_identity	1	Payload	bytes		
CuCpF1UeContextSetupRequest	GlobalGnbId	gnb_id	2	Payload	int64		
CuCpF1UeContextSetupResponse	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1UeContextSetupResponse	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1UeContextSetupResponse	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1UeContextSetupResponse	GlobalGnbId	plmn_identity	1	Payload	bytes		
CuCpF1UeContextSetupResponse	GlobalGnbId	gnb_id	2	Payload	int64		
CuCpF1WriteReplaceWarningRequest	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1WriteReplaceWarningRequest	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1WriteReplaceWarningRequest	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1WriteReplaceWarningResponse	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1WriteReplaceWarningResponse	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1WriteReplaceWarningResponse	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpNgAmfConfigurationUpdate	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpNgAmfConfigurationUpdate	Asn1Message	msg_content	2	Payload	bytes		
CuCpNgAmfConfigurationUpdate	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpNgAmfConfigurationUpdateAcknowledge	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpNgAmfConfigurationUpdateAcknowledge	Asn1Message	msg_content	2	Payload	bytes		
CuCpNgAmfConfigurationUpdateAcknowledge	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpNgAmfConfigurationUpdateFailure	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpNgAmfConfigurationUpdateFailure	Asn1Message	msg_content	2	Payload	bytes		
CuCpNgAmfConfigurationUpdateFailure	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpNgDeactivateTrace	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpNgDeactivateTrace	Asn1Message	msg_content	2	Payload	bytes		
