PmEvent Name	Event Id	Event Type	Event Description and Trigger	STANDARDIZED or PROPRIETARY	Event Groups	Message Trace Depth (UE Trace)	Interface Classification (UE Trace)	DeprecatedSince	ReasonForDeprecation	Periodicity (seconds)	SupportedBands	SupportedDeployments	License	LimitationReason	EventStatus
CuCpX2EndcResourceStatusUpdate	3342	CUCP	Standardized PM event to observe X2 EN-DC Resource Status Update message sent or received by gNodeB.	STANDARDIZED							Low-band, Mid-band	EN-DC	N/A		USED
CuCpX2EndcX2SetupFailure	3060	CUCP	EN-DC X2 SETUP FAILURE sent or received. See 3GPP TS 36.423.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, CR EN-DC	N/A		USED
CuCpX2EndcX2SetupRequest	3061	CUCP	EN-DC X2 SETUP REQUEST sent or received. See 3GPP TS 36.423.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, CR EN-DC	N/A		USED
CuCpX2EndcX2SetupResponse	3062	CUCP	EN-DC X2 SETUP RESPONSE sent or received. See 3GPP TS 36.423.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, CR EN-DC	N/A		USED
CuCpX2ErrorIndicationCommon	3348	CUCP	Common X2AP ERROR INDICATION message sent or received. See 3GPP TS 36.423.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC	N/A		USED
CuCpX2PartialResetConfirm	3302	CUCP	X2AP PARTIAL RESET CONFIRM message. See 3GPP TS 36.423.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, CR EN-DC	N/A		USED
CuCpX2PartialResetRequired	3303	CUCP	X2AP PARTIAL RESET REQUIRED message. See  3GPP TS 36.423	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, CR EN-DC	N/A		USED
CuCpX2RrcTransfer	3054	UE	RRCTransfer sent or received. See 3GPP TS 36.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	EN-DC, CR EN-DC	N/A		USED
CuCpX2SecondaryRatDataUsageReport	3056	UE	SECONDARY RAT DATA USAGE REPORT sent. See 3GPP TS 36.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	EN-DC, CR EN-DC	N/A		USED
CuCpX2SgnbActivityNotification	3002	UE	SGNB ACTIVITY NOTIFICATION sent. See 3GPP TS 36.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	EN-DC, CR EN-DC	N/A		USED
CuCpX2SgnbAdditionRequest	3067	UE	SGNB ADDITION REQUEST received. See 3GPP TS 36.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	EN-DC, CR EN-DC	N/A		USED
CuCpX2SgnbAdditionRequestAcknowledge	3068	UE	SGNB ADDITION REQUEST ACKNOWLEDGE sent. See 3GPP TS 36.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	EN-DC, CR EN-DC	N/A		USED
CuCpX2SgnbAdditionRequestReject	3069	UE	SGNB ADDITION REQUEST REJECT sent. See 3GPP TS 36.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	EN-DC, CR EN-DC	N/A		USED
CuCpX2SgnbChangeConfirm	3070	UE	SGNB CHANGE CONFIRM received. See 3GPP TS 36.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	EN-DC, CR EN-DC	N/A		USED
CuCpX2SgnbChangeRefuse	3071	UE	SGNB CHANGE REFUSE received. See 3GPP TS 36.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	EN-DC, CR EN-DC	N/A		USED
CuCpX2SgnbChangeRequired	3072	UE	SGNB CHANGE REQUIRED sent. See 3GPP TS 36.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	EN-DC, CR EN-DC	N/A		USED
CuCpX2SgnbModificationConfirm	3075	UE	SGNB MODIFICATION CONFIRM received. See 3GPP TS 36.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	EN-DC, CR EN-DC	N/A		USED
CuCpX2SgnbModificationRefuse	3076	UE	SGNB MODIFICATION REFUSE message is received. See 3GPP TS 36.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	EN-DC, CR EN-DC	N/A		USED
CuCpX2SgnbModificationRequest	3051	UE	SGNB MODIFICATION REQUEST received. See 3GPP TS 36.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	EN-DC, CR EN-DC	N/A		USED
CuCpX2SgnbModificationRequestAcknowledge	3049	UE	SGNB MODIFICATION REQUEST ACKNOWLEDGE sent. See 3GPP TS 36.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	EN-DC, CR EN-DC	N/A		USED
CuCpX2SgnbModificationRequestReject	3050	UE	SGNB MODIFICATION REQUEST REJECT sent. See 3GPP TS 36.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	EN-DC, CR EN-DC	N/A		USED
CuCpX2SgnbModificationRequired	3077	UE	SGNB MODIFICATION REQUIRED sent. See 3GPP TS 36.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	EN-DC, CR EN-DC	N/A		USED
CuCpX2SgnbReconfigurationComplete	3082	UE	SGNB RECONFIGURATION COMPLETE received. See 3GPP TS 36.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	EN-DC, CR EN-DC	N/A		USED
CuCpX2SgnbReleaseConfirm	3083	UE	SGNB RELEASE CONFIRM received. See 3GPP TS 36.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	EN-DC, CR EN-DC	N/A		USED
CuCpX2SgnbReleaseRequest	3084	UE	SGNB RELEASE REQUEST received. See 3GPP TS 36.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	EN-DC, CR EN-DC	N/A		USED
CuCpX2SgnbReleaseRequestAcknowledge	3085	UE	SGNB RELEASE REQUEST ACKNOWLEDGE sent. See 3GPP TS 36.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	EN-DC, CR EN-DC	N/A		USED
CuCpX2SgnbReleaseRequired	3086	UE	SGNB RELEASE REQUIRED sent. See 3GPP TS 36.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	EN-DC, CR EN-DC	N/A		USED
CuCpX2SnStatusTransfer	3087	UE	SN STATUS TRANSFER sent or received. See 3GPP TS 36.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	EN-DC, CR EN-DC	N/A		USED
CuCpX2TraceStart	3107	UE	TRACE START received. See 3GPP TS 36.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	EN-DC, NR SA	N/A	NR SA not supported.	USED
CuCpX2UeContextRelease	3088	UE	UE CONTEXT RELEASE received. See 3GPP TS 36.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	EN-DC, CR EN-DC	N/A		USED
CuCpXnActivityNotification	3206	UE	XnAP ACTIVITY NOTIFICATION message sent or received. See 3GPP TS 38.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A	Status Preliminary	PRELIMINARY
CuCpXnErrorIndicationCommon	3143	CUCP	Common XnAP ERROR INDICATION message sent or received. See 3GPP TS 38.423.	STANDARDIZED							Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpXnErrorIndicationDedicated	3144	UE	Dedicated XnAP ERROR INDICATION message sent or received. See 3GPP TS 38.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpXnHandoverCancel	3179	UE	XnAP HANDOVER CANCEL message sent or received. See 3GPP TS 38.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpXnHandoverPreparationFailure	3182	UE	XnAP HANDOVER PREPARATION FAILURE message sent or received. See 3GPP TS 38.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpXnHandoverRequest	3180	UE	XnAP HANDOVER REQUEST message sent or received. See 3GPP TS 38.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpXnHandoverRequestAcknowledge	3181	UE	XnAP HANDOVER REQUEST ACKNOWLEDGE message sent or received. See 3GPP TS 38.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpXnNgRanNodeConfigurationUpdate	3010	CUCP	NG-RAN NODE CONFIGURATION UPDATE sent or received. See 3GPP TS 38.423.	STANDARDIZED							Low-band, Mid-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A		USED
CuCpXnNgRanNodeConfigurationUpdateAcknowledge	3008	CUCP	NG-RAN NODE CONFIGURATION UPDATE ACKNOWLEDGE sent or received. See 3GPP TS 38.423.	STANDARDIZED							Low-band, Mid-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A		USED
