PmEvent Name	Event Id	Event Type	Event Description and Trigger	STANDARDIZED or PROPRIETARY	Event Groups	Message Trace Depth (UE Trace)	Interface Classification (UE Trace)	DeprecatedSince	ReasonForDeprecation	Periodicity (seconds)	SupportedBands	SupportedDeployments	License	LimitationReason	EventStatus
CuCpXnUeContextRelease	3193	UE	XnAP UE CONTEXT RELEASE message sent or received. See 3GPP TS 38.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpXnXnuAddressIndication	3194	UE	XnAP Xn-U ADDRESS INDICATION message sent or received. See 3GPP TS 38.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuUpE1Reset	4014	CUUP	RESET message. See 3GPP TS 38.463	STANDARDIZED							Low-band, Mid-band, High-band	NR SA	N/A	Not supported in HB SA	USED
CuUpE1ResetAcknowledge	4015	CUUP	RESET ACKNOWLEDGE message. See 3GPP TS 38.463	STANDARDIZED							Low-band, Mid-band, High-band	NR SA	N/A	Not supported in HB SA	USED
DuF1DeactivateTrace	2015	UE	Monitors DEACTIVATE TRACE message.	STANDARDIZED		0,2,3,5	F1				Low-band, Mid-band, High-band	EN-DC, NR SA	N/A	Not supported in HB SA	USED
DuF1GnbCuConfigurationUpdate	2026	DU	GNB CU CONFIGURATION UPDATE message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED
DuF1GnbCuConfigurationUpdateAcknowledge	2024	DU	GNB CU CONFIGURATION UPDATE ACKNOWLEDGE message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED
DuF1GnbCuConfigurationUpdateFailure	2025	DU	GNB CU CONFIGURATION UPDATE FAILURE message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, NR SA	N/A	Not verified for NR SA	USED
DuF1GnbDuConfigurationUpdate	2029	DU	GNB DU CONFIGURATION UPDATE message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED
DuF1GnbDuConfigurationUpdateAcknowledge	2027	DU	GNB DU CONFIGURATION UPDATE ACKNOWLEDGE message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED
DuF1GnbDuConfigurationUpdateFailure	2028	DU	GNB DU CONFIGURATION UPDATE FAILURE message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, NR SA	N/A	Not verified for all deployments	USED
DuF1Paging	2058	DU	PAGING message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
DuF1PwsCancelRequest	2081	DU	Monitors the PWS Cancel Request procedure in DU.	STANDARDIZED							Low-band, Mid-band	NR SA, CR NR SA	N/A	Not supported in MSRBS	USED
DuF1PwsCancelResponse	2082	DU	Monitors the PWS Cancel Respons procedure in DU.	STANDARDIZED							Low-band, Mid-band	NR SA, CR NR SA	N/A	Not supported in MSRBS	USED
DuF1PwsFailureIndication	2087	DU	Monitors the PWS Failure Indication procedure in DU.	STANDARDIZED							Low-band, Mid-band	NR SA, CR NR SA	N/A	Not supported in MSRBS	USED
DuF1PwsRestartIndication	2088	DU	Monitors the PWS Restart Indication procedure in DU.	STANDARDIZED							Low-band, Mid-band	NR SA, CR NR SA	N/A	Not supported in MSRBS.	USED
DuF1Reset	2031	DU	RESET message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not used in current deployments	USED
DuF1ResetAcknowledge	2030	DU	RESET ACKNOWLEDGE message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not used in current deployments	USED
DuF1ResourceStatusFailure	2085	DU	RESOURCE STATUS FAILURE message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band	NR SA, CR NR SA	N/A	CR NR SA deployment not supported	USED
DuF1ResourceStatusRequest	2083	DU	RESOURCE STATUS REQUEST message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band	NR SA, CR NR SA	N/A	CR NR SA deployment not supported	USED
DuF1ResourceStatusResponse	2084	DU	RESOURCE STATUS RESPONSE message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band	NR SA, CR NR SA	N/A	CR NR SA deployment not supported	USED
DuF1ResourceStatusUpdate	2086	DU	RESOURCE STATUS UPDATE message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band	NR SA, CR NR SA	N/A	CR NR SA deployment not supported	USED
DuF1SetupFailure	2039	DU	SETUP FAILURE message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED
DuF1SetupRequest	2019	DU	SETUP REQUEST message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED
DuF1SetupResponse	2020	DU	SETUP RESPONSE message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED
